frame,2ld_1,2ld_2,2ld_3,2lv_1,2lv_2,2lv_3,3ld_1,3ld_2,3ld_3,4rd_1,4rd_2,4rd_3,4rv_1,4rv_2,4rv_3,5ld_1,5ld_2,5ld_3,5lv_1,5lv_2,5lv_3,6ld_1,6ld_2,6ld_3,6lv_1,6lv_2,6lv_3,7rd_1,7rd_2,7rd_3,7rv_1,7rv_2,7rv_3,8rd_1,8rd_2,8rd_3,,,,,,,10ld_1,10ld_2,10ld_3,10lv_1,10lv_2,10lv_3
29,,,,,,,,,28.00446,21.62825,,46.18592,26.67968,32.82416,,49.00255,,32.75859,49.83584,,,,,34.41253,34.46113,,,,,,33.7079,21.82029,23.75526,,,,,,,,,,,,,,,
30,,,,,,,,,31.00403,23.00242,,49.70049,29.00766,34.5617,,50.5011,,33.25846,52.8336,,,,,34.37376,34.67478,,,,,,35.70559,22.31871,24.0013,,,,,,,,,,,,,,,
31,,,,,,,,,,23,,,,,,,,33.29936,,,,,,34.41253,34.66667,,,,,,,23.13547,24.5,,,,,,,,,,,,,,,
32,,,,,,,,,,24.33562,,,,,,,,28.7555,,,,,,35.35848,34.91756,,,,,,,23.29834,25.50123,,,,,,,,,,,,,,,
33,,,,,,,,,,25.66883,,,,,,,,25.26307,,,,,,,35.43078,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,26.33544,,,,,,,,23.00688,,,,,,,35.93059,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,38.01316,,,,,,,,26.50118,,,,,,,38.92389,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,38.36955,,,,,,,,25.50123,,,,,,,39.92371,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,39.68907,,,,,,,,26,,,,,,,42.16963,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,44.0202,,,,,,,,26.00481,,,,,,,43.92805,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.25388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
