frame,2ld_1,2ld_2,2ld_3,2lv_1,2lv_2,2lv_3,4rd_1,4rd_2,4rd_3,4rv_1,4rv_2,4rv_3,5ld_1,5ld_2,5ld_3,5lv_1,5lv_2,5lv_3,6ld_1,6ld_2,6ld_3,6lv_1,6lv_2,6lv_3,7rd_1,7rd_2,7rd_3,7rv_1,7rv_2,7rv_3,8rd_1,8rd_2,8rd_3,9rd_1,9rd_2,9rd_3,9rv_1,9rv_2,9rv_3,10ld_1,10ld_2,10ld_3,10lv_1,10lv_2,10lv_3
24,,,,,,,18.88884,13.93991,,19.88059,14.93142,6.80313,10.54926,,6.74102,15.28472,11.33959,10.93567,10.31661,,8.08938,8.46729,8.14925,10.98723,,11.46953,,24.32094,,10.10784,11.45764,,,,,,15.064,,5.76368,14.8526,,,,,
25,,,,,,,18.89729,11.65929,,19.69597,14.71136,6.03001,10.32068,,6.11164,14.99653,10.96613,10.34225,,,7.83379,8.39597,7.78929,,,,,23.79826,,10.04105,,,,,,,15.115,,5.69664,12.2764,,,,,
26,,,,,,,18.71684,10.3955,,18.97208,14.43117,5.24919,9.63921,,5.76566,14.45738,10.83397,6.18566,,,7.48846,8.26555,7.12502,,,,,23.23569,,9.85757,,,,,,,14.842,,5.56086,11.1911,,,,,
27,,,,,,,18.50508,,,13.20452,11.11942,,9.41743,,3.84327,7.89334,10.61033,10.61033,,,7.3584,8.05001,,,,,,17.57908,,9.65379,,,,,,,14.588,,5.60777,10.1519,,,,,
28,,,,,,,18.40008,,,12.81943,10.69387,,9.1046,,3.56494,7.52224,9.73177,9.73177,,,7.45607,7.77358,,,,,,16.84381,,9.6082,,,,,,,14.209,,5.58674,9.50217,,,,,
29,,,,,,,18.08771,,,12.09073,10.21826,,8.47303,,3.37196,6.40521,6.40521,6.40521,,,7.73478,7.95447,,,,,,15.00658,,9.47865,,,,,,,11.617,,4.36325,,,,,,
30,,,,,,,15.95973,,,9.96457,9.12377,,5.71907,,3.05288,4.81877,4.81877,4.81877,,,7.60098,7.73249,,,,,,12.25769,,9.41209,,,,,,,11.256,,3.99104,,,,,,
31,,,,,,,16.41358,,,,,,,,,,,,,,7.37377,7.54202,,,,,,,,9.33233,,,,,,,10.666,,3.78222,,,,,,
32,,,,,,,16.22204,,,,,,,,,,,,,,6.69335,7.10332,,,,,,,,9.2004,,,,,,,9.022,,3.32579,,,,,,
33,,,,,,,15.88794,,,,,,,,,,,,,,,6.79103,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,15.4909,,,,,,,,,,,,,,,6.64865,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,9.93355,,,,,,,,,,,,,,,6.50261,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,9.83228,,,,,,,,,,,,,,,6.34019,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,9.28449,,,,,,,,,,,,,,,5.94152,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,8.27053,,,,,,,,,,,,,,,5.41997,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,4.97717,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,4.54999,,,,,,,,,,,,,,,,,,,,,,,
